classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,制作 Lv 1 石剑,2,recipe-icon-44,44,1,"210,1;213,1",Lv 1 石剑配方,"40,1,1,10000",1,0,10900044,1,10,-,2,0,4,0,0
2,制作 Lv 2 铁剑,2,recipe-icon-45,45,2,"207,2;211,1;214,1",Lv 2 铁剑配方,"41,1,1,10000",1,0,10800045,1,10,-,2,0,4,0,0
3,制作 Lv 3 水晶剑,2,recipe-icon-46,46,3,"208,2;212,1;215,1",Lv 3 水晶剑配方,"42,1,1,6000;42,2,1,4000",1,0,50700046,1,10,-,2,0,4,0,0
1,制作 Lv 1 铁质锄头,2,recipe-icon-62,62,1,"207,2",Lv 1 铁质锄头配方,"80,1,1,10000",1,0,10900062,1,10,-,1,0,4,0,0
2,制作 Lv 2 诅咒锄头,2,recipe-icon-63,63,2,"216,2;208,2",Lv 2 诅咒锄头配方,"81,1,1,10000",1,0,10800063,1,10,-,1,0,4,0,0
3,制作 Lv 3 祝福锄头,2,recipe-icon-64,64,3,"217,2;209,2",Lv 3 祝福锄头配方,"82,1,1,6000;82,2,1,4000",1,0,50700064,1,10,-,1,0,4,0,0
1,制作 Lv 1 铁质水壶,2,recipe-icon-66,66,1,"207,2",Lv 1 铁质水壶配方,"84,1,1,10000",1,0,10900066,1,10,-,1,0,4,0,0
2,制作 Lv 2 诅咒水壶,2,recipe-icon-67,67,2,"216,2;208,2",Lv 2 诅咒水壶配方,"85,1,1,10000",1,0,10800067,1,10,-,1,0,4,0,0
3,制作 Lv 3 祝福水壶,2,recipe-icon-68,68,3,"217,2;209,2",Lv 3 祝福水壶配方,"86,1,1,6000;86,2,1,4000",1,0,50700068,1,10,-,1,0,4,0,0
1,制作 Lv 1 铁质镐子,2,recipe-icon-70,70,1,"216,2",Lv 1 铁质镐子配方,"88,1,1,10000",1,0,10900070,1,10,-,3,0,4,0,0
2,制作 Lv 2 诅咒镐子,2,recipe-icon-71,71,2,"210,1;213,1;217,2",Lv 2 诅咒镐子配方,"89,1,1,10000",1,0,10800071,1,10,-,3,0,4,0,0
3,制作 Lv 3 祝福稿子,2,recipe-icon-72,72,3,"211,1;214,1;218,2",Lv 3 祝福稿子配方,"90,1,1,6000;90,2,1,4000",1,0,50700072,1,10,-,3,0,4,0,0
1,制作 Lv 1 铁质斧头,2,recipe-icon-74,74,1,"216,2",Lv 1 铁质斧头配方,"92,1,1,10000",1,0,10900074,1,10,-,3,0,4,0,0
2,制作 Lv 2 诅咒斧头,2,recipe-icon-75,75,2,"210,1;213,1;217,2",Lv 2 诅咒斧头配方,"93,1,1,10000",1,0,10800075,1,10,-,3,0,4,0,0
3,制作 Lv 3 祝福斧头,2,recipe-icon-76,76,3,"211,1;214,1;218,2",Lv 3 祝福斧头配方,"94,1,1,6000;94,2,1,4000",1,0,50700076,1,10,-,3,0,4,0,0
1,制作 Lv 0 加速肥料,2,recipe-icon-92,92,1,"65,1",Lv 0 加速肥料,"128,1,1,10000",3,0,40900092,1,10,-,1,0,4,0,0
