describe-string,id-int,module-string,value-string
资源不存在,5001,家园错误码,Sumber tidak wujud
操作不支持,5002,家园错误码,Operasi tidak disokong
家园道具扣除异常,5003,家园错误码,Pengurangan item rumah tidak normal
捕捉动物请求异常,6001,畜牧错误码,Permintaan menangkap haiwan terganggu
捕捉动物无效,6002,畜牧错误码,Menangkap haiwan tidak sah
,10001001,通用,OK 
,10001002,通用,Batal 
,10001003,通用,Sahkan 
,10001004,通用,Tutup
,10001005,通用,Sambungan
,10001006,通用,"Perkhidmatan sibuk, sila tunggu dengan sabar"
,10001007,通用," Dompet terputus, sila mulakan semula aplikasi."
,10001008,通用, Sistem memberi amaran
,10001009,通用, Versi aplikasi telah dikemaskini. Sila mulakan semula aplikasi.
,10001010,通用, Permainan bermula
,10001011,通用,Diperolehi{0}
,10001012,通用,
,10004021,装备属性-生命上限,Max HP
,10004022,装备属性-生命恢复,Pemulihan HP
,10004023,装备属性-攻击点数,Mata Serangan
,10004024,装备属性-攻击速度,Kelajuan Serangan
,10004025,装备属性-防御点数,Mata Pertahanan
,10004026,装备属性-暴击点数,Mata Kritikal
,10004027,装备属性-暴击伤害,Kerosakan Kritikal
,10004028,装备属性-命中点数,Mata Pukulan
,10004029,装备属性-闪避点数,Mata Elak
,10004030,装备属性-移动速度,Kelajuan Gerakan
,10022007,画板,Lumiterra
,10027010,机器人,LV.{0}
,10060001,UI tips EXP,"Cara untuk mendapatkan EXP termasuk membunuh raksasa, menyelesaikan tugas, dan lain-lain.Anda boleh mendapatkan banyak EXP setiap kali menyelesaikan misi ganjaran."
,10060002,UI tips token,Anda boleh membeli LNCO melalui pertukaran mata wang atau pertukaran kripto.Anda juga boleh mendapatkan LNCO dengan menjual item permainan di pasaran.
,10060003,UI tips Proficiency,"Meningkatkan kekuatan senjata, kekuatan peralatan, dan ramuan semua meningkatkan kecekapan kemahiran kraf yang berkaitan.Semakin tinggi tahap pembuatan item, semakin tinggi kecekapan yang meningkat."
,10070001,通用提示文案-外观穿戴1,Anda mesti memakai peralatan sebelum boleh memakai penampilan.
,10070002,通用提示文案-外观穿戴2,Hanya penampilan yang sama jenis dengan peralatan semasa boleh dipakai.
