describe-string,id-int,module-string,value-string
资源不存在,5001,家园错误码, Ресурс не существует
操作不支持,5002,家园错误码, Операция не поддерживается
家园道具扣除异常,5003,家园错误码, Неисправность вычета предмета дома
捕捉动物请求异常,6001,畜牧错误码, Запрос на захват животных исключен
捕捉动物无效,6002,畜牧错误码, Захват животных недействителен
,2010000,, Пусто.
,10001001,通用, ОК
,10001002,通用, Отмена
,10001003,通用, Подтвердить
,10001004,通用, Закрыть
,10001005,通用, Подключение
,10001006,通用," Сервис занят, пожалуйста, будьте терпеливы"
,10001007,通用," Кошелек отключен, пожалуйста, перезапустите приложение."
,10001008,通用, Системное предупреждение
,10001009,通用," Версия приложения обновлена. Пожалуйста, перезапустите приложение."
,10001010,通用, Начало игры
,10001011,通用, Получено {0}.
,10001012,通用, Недостаток предметов.
,10001013,通用, Ваши активы не смогут быть проданы в зоне pvp.
,10001014,通用, Бассейн Желаний.
,10001015,通用, Боевое Древо Желаний.
,10001016,通用, Собрать Древо Желаний.
,10001017,通用, Фермерское дерево желаний 
,10004021,装备属性-生命上限,Максимальное ХП
,10004022,装备属性-生命恢复, Восстановление ХП
,10004023,装备属性-攻击点数, Очки атаки
,10004024,装备属性-攻击速度, Скорость атаки
,10004025,装备属性-防御点数, Очки защиты
,10004026,装备属性-暴击点数, Критический удар
,10004027,装备属性-暴击伤害, Урон от критического удара
,10004028,装备属性-命中点数, Очки попадания
,10004029,装备属性-闪避点数, Очки уклонения
,10004030,装备属性-移动速度, Скорость передвижения
,10022007,画板, Лумитерра
,10027010,机器人, Уровень {0}
,10060001,UI tips EXP," Способы получения опыта включают убийство монстров, выполнение заданий и т. д.После каждого завершения раунда охотничьих миссий вы можете получить много опыта."
,10060002,UI tips token," Вы можете купить LNCO через кривые или криптовалютные биржи.Также вы можете получить LNCO, продавая игровые предметы на рынке."
,10060003,UI tips Proficiency," Создание силы оружия, силы экипировки и зелий увеличивает мастерство соответствующего ремесла.Чем выше уровень создания предмета, тем больше увеличение мастерства."
,10070001,通用提示文案-外观穿戴1," Прежде чем применить внешний вид, вы должны надеть экипировку."
,10070002,通用提示文案-外观穿戴2," Можно надеть только внешний вид того же типа, что и текущая экипировка."
,10080013,大世界钱包地址复制提示, Адрес кошелька скопирован
,10080014,大世界NFT物件拆除确认提示, Подтвердите удаление
,10080015,大世界NFT物件拆除不返还提示, Не вернется Дитамин
,10080016,聊天窗文本复制提示, Текст скопирован
,10080017,大世界放弃领地弹窗," Вы уверены, что хотите покинуть эту землю ({0}, {1})?"
,10080018,大世界24小时预计奖励tips, Предполагаемый доход за 24 часа: {0} Дитамин
,10080019,大世界超出占地限制tips, Лимит вознаграждения: {0} Занятая земля
,10080020,聊天禁言提示," Вас забанили, и вы не сможете общаться в чате до снятия бана"
,10080021,创建地图达到上限提示, Максимальный лимит создания карт составляет {0}.
,10080022,销毁道具提示, Хотите уничтожить {0} * {1}? После уничтожения восстановление невозможно!
,10080023,销毁道具成功提示, Успешно уничтожено!
,10081001,实体地图操作界面," Карта уже запущена, и это последний портал на запущенной карте. Изменение текущих настроек портала нарушит игровой опыт для игроков на активных картах. Пожалуйста, подтвердите."
,10081002,实体地图操作界面," Карта работает на облачном сервере, и текущая ставка обслуживания составляет:0 Дитамин/час."
,10081003,实体地图操作界面," Карта уже запущена, и это последний портал на запущенной карте. Изменение текущих настроек портала нарушит игровой опыт для игроков на активных картах. Пожалуйста, подтвердите."
,10081004,实体地图操作界面," Карта уже запущена. Обновление данных карты нарушит игровой опыт для игроков на активных картах. Пожалуйста, подтвердите."
,10081005,实体地图操作界面," Карта уже запущена. Закрытие карты нарушит игровой опыт для игроков на активных картах. Пожалуйста, подтвердите."
,10082001,功能提示, Функция преобразования текста в звук временно недоступна
,10089001,打地鼠, Удар по кротам
,10089002,记数字和符号, Память персонажа
,10089003,打气球, Взрыв шаров
,10089004,裁剪艺术, Пропавший кусок
,10089005,旋转剪影, Вращающийся силуэт
,10089006,数方块, Расчет блоков
,10089007,调整时钟, Настройка часов
,10089008,鸟笼洗牌, Перемешивание клетки для птиц
,10089009,敲积木求和, Трещины в блоках
,10089010,卡片记忆, Память по карте
,10089011,逆转记忆, Обратная память
,10089012,PVP邀请链接复制提示, Ссылка на приглашение скопирована
,10089013,PVP PK房间准备超时提示, Время ожидания в комнате PK
,10089014,PVP主动认输, Отказаться от игры?
,10089015,装备插槽升级提示, Уровень слота оборудования повышен!
,10089016,装备插槽等级不足提示, Недостаточный уровень слота
,10090001,打地鼠小游戏提示1,Нажмите на ту же картину!
,10090002,快闪记忆提示1, Запомните числа и знаки!
,10090003,快闪记忆提示2, {0} цифр
,10090004,顺序气球提示, Уничтожьте шарики по числам от меньшего к большему!
,10090005,积木计算提示, Какое количество блоков?
,10090006,旋转剪影提示, Какой силуэт совпадает?
,10090007,剪裁艺术提示, Какая картинка подходит лучше всего?
,10090008,调整时钟quiz提示, Настройте часы!
,10090009,拾取非归属于自己的道具提醒," Нельзя подобрать, это не ваше"
,10090010,回复%血量, Восстановить {0}% здоровья
,10090011,重复使用配方提醒, Вы уже выучили этот рецепт.
,10090012,鸟笼洗牌提示, Где куры?
,10090013,, Попадите по ненужным кирпичам!
,10090014,逆向记忆提示, Повторите в обратном порядке!
,10090015,获得BUFF提示, Получите БАФФ: {0}
,10090016,卡牌记忆提示, Запомните карты!
,10090017,点击技能熟练度问号弹窗, Улучшите свою мастерство в ремесле
,10090018,奖励预览, Предварительный просмотр награды
,10090019,恭喜获得, Поздравляем с получением:
,10090020,放弃任务确认提示," Вы уверены, что хотите отказаться от этой задачи?"
