canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],subType-int,type-int,useLv-int,userType-int
"1,3,4",1," Seseorang pernah melihat bahan ini di tepi pantai.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Slime hijau ini adalah bahan mentah yang jarang dan boleh digunakan untuk membuat pelbagai peralatan pertempuran. Ia mempunyai kelekat yang sangat kuat dan boleh melekat dengan pelbagai bahan.
",0,item-icon-30,30,Slime Hijau Tingkat 1,1,0,4,1,1
"1,3,4",1," Seseorang pernah melihat bahan ini di tepi pantai.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Pokok labu adalah bahan mentah yang boleh digunakan untuk membuat senjata dan baju zirah. Ia mempunyai tekstur yang kuat dan kekuatan yang sangat baik, memberikan perlindungan dan kekuatan serangan yang boleh diandalkan dalam pertempuran.
",0,item-icon-31,31,Pokok Labu Tingkat 1,1,0,4,1,1
"1,3,4",1," Seseorang pernah melihat bahan ini di tepi pantai.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Wire Mesh jenis ini adalah bahan mentah yang digunakan untuk pertempuran, yang boleh digunakan untuk membuat struktur pertahanan atau peralatan dengan kekuatan dan ketahanan yang tinggi.
",0,item-icon-32,32,Rangka Kawat Tingkat 1,1,0,4,1,1
"1,3,4",1," Seseorang pernah melihat bahan ini di padang pasir.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Taring Kucing dari lombong adalah bahan mentah yang tajam dan boleh digunakan untuk membuat senjata dan baju zirah. Ia berasal dari haiwan kucing yang tinggal di lombong dan mempunyai kemampuan pertempuran yang kuat dan kecekapan.
",0,item-icon-33,33,Kucing Tambang Gigi Tajam Tingkat 2,1,0,4,2,1
"1,3,4",1," Seseorang pernah melihat bahan ini di padang rumput.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Filem ringan ini adalah bahan mentah yang digunakan untuk pertempuran dan boleh digunakan untuk membuat pelbagai peralatan pertahanan dan senjata.
",0,item-icon-34,34,Filem Tipis Cahaya Tingkat 2,1,0,4,2,1
"1,3,4",1," Seseorang pernah melihat bahan ini di ngarai.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Mahkota Kepala Rumput adalah bahan pertempuran peringkat kedua yang diperbuat daripada kepala Raksasa Rumput dan mempunyai kemampuan pertempuran yang kuat.
",0,item-icon-35,35,Mahkota Iblis Rumput Tingkat 2,1,0,4,2,1
"1,3,4",1," Seseorang pernah melihat bahan ini di Hutan Hitam.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Cangkuk Langsing ini diperbuat daripada logam keras, sangat tajam, sesuai untuk digunakan dalam pertempuran. Bentuknya yang langsing membolehkannya menembusi pertahanan musuh dengan mudah.
",0,item-icon-36,36,Cakar Kait Ramping Tingkat 3,1,0,4,3,1
"1,3,4",1," Seseorang pernah melihat bahan ini di Hutan Merah.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Bulu merah adalah bulu berkualiti tinggi dengan prestasi pertahanan yang baik, sesuai untuk membuat peralatan pertempuran. Ia adalah bahan mentah yang jarang dengan tahap pengumpulan yang tinggi.
",0,item-icon-37,37,Bulu Merah Jambu Tingkat 3,1,0,4,3,1
"1,3,4",1," Seseorang pernah melihat bahan ini di Gunung Salji.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Ini adalah bahan mentah yang jarang yang boleh diperoleh dalam pertempuran. Ia mempunyai penampilan seperti ais dan salji, dengan tekstur berbulu yang membuat orang ingin menyentuhnya.
",0,item-icon-38,38,Bulu Salji Ais Tingkat 3,1,0,4,3,1
0,1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan pertempuran anda.
-------
Sebuah senjata tajam dan kukuh yang ditempa dari batu padat, sempurna untuk pertempuran jarak dekat. Berat dan keseimbangannya membuatnya mudah digunakan, memberikan serangan yang kuat dengan ketepatan. 
",0,item-icon-40,40,Pedang Batu Tingkat 1,1,0,1,1,1
0,1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan pertempuran anda.
-------
Sebuah senjata tajam dan kukuh yang ditempa dari besi, mampu membelah musuh dengan mudah. Beratnya memberikan kepuasan tersendiri, memungkinkan serangan yang kuat yang membuat lawan terhuyung. 
",0,item-icon-41,41,Pedang Besi Tingkat 2,"1,2",0,1,2,1
0,1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan pertempuran anda.
-------
Sebuah senjata kuat yang ditempa dari kristal murni, mampu membelah musuh dengan mudah. Bilahnya yang berkilauan memantulkan cahaya, mempesona lawan dan menimbulkan ketakutan dalam hati mereka. Setiap ayunan Pedang Kristal melepaskan kombinasi mematikan dari kecepatan dan ketepatan. 
",0,item-icon-42,42,Pedang Kristal Tingkat 3,"1,2,3",0,1,3,1
0,1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan pertempuran anda.
-------
Sebuah senjata kayu yang kukuh yang dirancang untuk serangan cepat dan tepat, sempurna untuk pemula yang mengasah keterampilan pertempuran mereka. Desainnya yang ringan memungkinkan gerakan yang lincah, menjadikannya pilihan yang ideal bagi mereka yang mencari senjata yang serbaguna dan dapat diandalkan. 
",0,item-icon-39,39,Pedang Kayu Tingkat 0,1,0,1,0,1
4,1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Aksesori bergaya yang menambah sentuhan elegan pada setiap pakaian. Dibuat dengan detail yang rumit, cincin ini memancarkan kesan keanggunan dan pesona. Desain uniknya pasti akan menarik perhatian para penggemar mode. 
",0,item-icon-43,43,Cincin Kepala Cip Tingkat 1,1,0,1,1,1
4,1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Topi ini terbuat dari bahan unik yang terasa sangat lembut di kulit Anda. Ini memberikan kenyamanan dan kenyamanan yang mewah, menjadikannya sempurna untuk sesi bermain game yang lama. 
",0,item-icon-44,44,Topi Kulit Kristal Lembut Tingkat 2,"1,2",0,1,2,1
4,1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Sebuah helm kukuh yang ditempa dari kristal berkilau, memberikan perlindungan luar biasa tanpa mengorbankan kelenturan. Cahaya mempesona memberikan penglihatan yang lebih baik di dalam gua yang gelap. 
",0,item-icon-45,45,Topi Kepala Batu Kristal Tingkat 3,"1,2,3",0,1,3,1
4,1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Baju zirah ini, dengan desain kristal yang retak, memancarkan aura ketahanan dan kekuatan. Permukaannya yang berkilauan memantulkan cahaya, memikat semua yang melihatnya. Simbol kekuatan dan ketahanan, ini adalah barang wajib bagi prajurit berpengalaman. 
",0,item-icon-46,46,Baju Zirah Kristal Retak Tingkat 1,1,0,1,1,1
