boothFees-int[][],canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1," Seseorang pernah melihat bahan ini di tepi pantai.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Lendir hijau ini adalah bahan mentah langka yang dapat digunakan untuk membuat berbagai peralatan tempur. Ia memiliki daya rekat yang sangat kuat dan dapat melekat pada berbagai bahan.
",0,item-icon-30,30,lendir hijau,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1," Seseorang pernah melihat bahan ini di tepi pantai.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Tanaman merambat labu adalah bahan mentah yang dapat digunakan untuk membuat senjata dan baju besi. Mereka memiliki tekstur yang kuat dan keuletan yang baik, memberikan perlindungan dan kekuatan serangan yang handal dalam pertempuran.
",0,item-icon-31,31,tanaman merambat labu,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1," Seseorang pernah melihat bahan ini di tepi pantai.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Jaring kawat ini adalah bahan mentah yang digunakan untuk pertempuran, yang dapat digunakan untuk memproduksi struktur pertahanan atau peralatan dengan kekuatan dan daya tahan tinggi.
",0,item-icon-32,32,kawat berduri,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1," Seseorang pernah melihat bahan ini di gurun.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Taring Kucing Penambang adalah bahan mentah yang tajam yang dapat digunakan untuk membuat senjata dan baju besi. Mereka berasal dari hewan kucing yang hidup di tambang dan memiliki kemampuan tempur yang kuat dan lincah.
",0,item-icon-33,33,Fang Kucing Miner,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1," Seseorang pernah melihat bahan ini di padang rumput.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Film ringan ini adalah bahan mentah yang digunakan untuk pertempuran dan dapat digunakan untuk memproduksi berbagai peralatan pertahanan dan senjata.
",0,item-icon-34,34,film ringan,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1," Seseorang pernah melihat bahan ini di kanyon.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Mahkota Kepala Demon Rumput adalah bahan tempur tingkat kedua yang terbuat dari kepala Demon Rumput dan memiliki kemampuan tempur yang kuat.
",0,item-icon-35,35,Mahkota Kepala Rumput,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1," Seseorang pernah melihat bahan ini di Hutan Hitam.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Cakar kait ramping ini terbuat dari logam keras, sangat tajam, cocok untuk digunakan dalam pertempuran. Bentuknya ramping, dan dapat dengan mudah menembus pertahanan musuh.
",0,item-icon-36,36,Kait Ramping,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1," Seseorang pernah melihat bahan ini di Hutan Merah.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Bulu merah adalah bulu berkualitas tinggi dengan performa pertahanan yang baik, cocok untuk membuat peralatan tempur. Ini adalah bahan mentah langka dengan tingkat kesulitan pengumpulan yang tinggi.
",0,item-icon-37,37,bulu merah,0,1,11,1,0,2,3,1,4,3,1
"794,1","1,3,4",1," Seseorang pernah melihat bahan ini di Gunung Salju.
Ini dapat digunakan untuk membuat peralatan atau item.
-------
Ini adalah bahan mentah langka yang dapat diperoleh dalam pertempuran. Ia memiliki penampilan seperti es dan salju, dengan tekstur berbulu yang membuat orang ingin menyentuhnya.
",0,item-icon-38,38,es dan salju,0,1,12,1,0,2,3,1,4,3,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan tempur Anda
-------
Senjata tajam dan kokoh yang terbuat dari batu padat, sempurna untuk pertempuran jarak dekat. Berat dan keseimbangannya membuatnya mudah digunakan, memberikan pukulan yang kuat dengan presisi.
",0,item-icon-40,40,pedang batu,1,1,264,1,0,2,999,0,1,1,1
