describe-string,id-int,module-string,value-string
资源不存在,5001,家园错误码,La ressource n'existe pas
操作不支持,5002,家园错误码,Opération non prise en charge
家园道具扣除异常,5003,家园错误码,Anomalie de déduction de l'objet domestique
捕捉动物请求异常,6001,畜牧错误码,Exception de demande de capture d'animaux
捕捉动物无效,6002,畜牧错误码,La capture d'animaux est invalide
,2010000,,Vide
,10001001,通用,OK 
,10001002,通用,Annuler 
,10001003,通用,Confirmer 
,10001004,通用,Fermer
,10001005,通用,Connexion
,10001006,通用,"Le service est occupé, veuillez patienter"
,10001007,通用,"Portefeuille déconnecté, veuillez redémarrer l'application."
,10001008,通用,Message système
,10001009,通用,La version de l'application a été mise à jour. Veuillez redémarrer l'application.
,10001010,通用,Début du jeu
,10001011,通用,Obtenu{0}
,10001012,通用,Manque d'objets.
,10001013,通用, Vos actifs ne pourront pas être vendus dans la zone PvP.
,10001014,通用,Pozo de Deseos
,10001015,通用,Arbre des souhaits de combat
,10001016,通用, Rassemblez l'Arbre des souhaits.
,10001017,通用, Arbre des souhaits de la ferme
,10004021,装备属性-生命上限,Max HP
,10004022,装备属性-生命恢复,Récupération des HP
,10004023,装备属性-攻击点数,Points d'attaque
,10004024,装备属性-攻击速度,Vitesse d'attaque
,10004025,装备属性-防御点数,Points de défense
,10004026,装备属性-暴击点数,Point de critique
,10004027,装备属性-暴击伤害,Dommages critiques
,10004028,装备属性-命中点数,Points de vie
,10004029,装备属性-闪避点数,Points d'esquive
,10004030,装备属性-移动速度,Vitesse de déplacement
,10022007,画板,Lumiterra
,10027010,机器人,LV.{0}
,10060001,UI tips EXP,"Les moyens d'obtenir de l'EXP incluent tuer des monstres, accomplir des tâches, etc.Vous pouvez obtenir beaucoup d'EXP à chaque fois que vous terminez une série de missions de prime."
,10060002,UI tips token,Vous pouvez acheter LNCO via des échanges de cryptomonnaies.Vous pouvez également obtenir LNCO en vendant des objets de jeu sur le marché.
,10060003,UI tips Proficiency,"La puissance de fabrication des armes, la puissance de l'équipement et les potions augmentent toutes la compétence de fabrication correspondante.Plus le niveau de fabrication de l'objet est élevé, plus la compétence augmentée est grande."
,10070001,通用提示文案-外观穿戴1,Vous devez porter l'équipement avant de pouvoir porter l'apparence.
,10070002,通用提示文案-外观穿戴2,Seules les apparences du même type que l'équipement actuel peuvent être portées.
,10080013,大世界钱包地址复制提示,L'adresse du portefeuille a été copiée
,10080014,大世界NFT物件拆除确认提示,Veuillez confirmer la suppression
,10080015,大世界NFT物件拆除不返还提示,Ne retournera pas Ditamin
,10080016,聊天窗文本复制提示,Texte copié
,10080017,大世界放弃领地弹窗,"Êtes-vous sûr d'abandonner ce territoire ({0}, {1}) ?"
,10080018,大世界24小时预计奖励tips,Gains estimés sur 24 heures : {0} Ditamin
,10080019,大世界超出占地限制tips,Limite de récompense : {0} Territoire Occupé
,10080020,聊天禁言提示,Vous avez été banni et ne pourrez pas discuter tant que le bannissement ne sera pas levé
,10080021,创建地图达到上限提示,La limite maximale de création de carte est de {0}.
,10080022,销毁道具提示,Voulez-vous détruire {0} * {1} ? Impossible de restaurer après destruction !
,10080023,销毁道具成功提示,Détruit avec succès !
,10081001,实体地图操作界面,La carte est déjà en cours d'exécution et c'est le dernier portail de la carte en cours d'exécution. Modifier les paramètres du portail actuel perturbera l'expérience de jeu des joueurs sur les cartes en direct. Veuillez confirmer.
,10081002,实体地图操作界面,"La carte est en cours d'exécution sur un serveur cloud, et le taux de service actuel est de : 0Ditamin/heure."
,10081003,实体地图操作界面,La carte est déjà en cours d'exécution et c'est le dernier portail de la carte en cours d'exécution. Modifier les paramètres du portail actuel perturbera l'expérience de jeu des joueurs sur les cartes en direct. Veuillez confirmer.
,10081004,实体地图操作界面,La carte est déjà en cours d'exécution. La mise à jour des données de la carte perturbera l'expérience de jeu des joueurs sur les cartes en direct. Veuillez confirmer.
,10081005,实体地图操作界面,La carte est déjà en cours d'exécution. La fermeture de la carte perturbera l'expérience de jeu des joueurs sur les cartes en direct. Veuillez confirmer.
,10082001,功能提示,La fonction de conversion de texte en son est temporairement indisponible
,10089001,打地鼠,Taper les taupes
,10089002,记数字和符号,Mémoire des personnages
,10089003,打气球,Éclatement de ballons
,10089004,裁剪艺术,Pièce manquante
,10089005,旋转剪影,Silhouette rotative
,10089006,数方块,Calcul des blocs
